:user_name,:guess_one_number,:guess_two_numbers,:guess_three_numbers,:wins,:guess_nothing,:date
roman,0,0,0,0,10,2016-05-18 17:23:28 +0300
roman_karnaukh,0,6,0,0,0,2016-05-18 17:30:44 +0300
